Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,91.60,7.23,91.14,88.32,100.00,0
50,92.20,7.42,91.66,88.76,100.00,0
75,92.81,7.69,92.30,89.40,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,91.75,7.46,91.15,88.04,100.00,0
0.09,92.22,7.08,91.95,88.64,100.00,0
0.18,91.12,6.64,90.52,88.35,100.00,0
0.28,91.76,6.92,91.47,89.45,100.00,0
0.37,92.39,6.77,91.88,87.52,100.00,0
0.46,92.19,7.41,91.29,88.11,100.00,0
0.55,90.55,7.44,90.25,88.24,100.00,0
0.64,93.02,7.32,92.38,88.95,100.00,0
0.73,91.81,7.62,91.19,89.09,100.00,0
0.83,91.62,7.62,91.33,88.33,100.00,0
0.92,93.58,7.54,92.87,90.69,100.00,0
1.01,91.82,7.52,91.70,87.75,100.00,0
1.10,94.31,7.18,93.53,88.50,100.00,0
1.20,90.08,7.07,89.66,87.87,100.00,0
1.29,93.00,6.93,92.64,88.99,100.00,0
1.38,91.69,6.92,91.23,88.08,100.00,0
1.47,90.88,7.17,90.44,88.42,100.00,0
1.56,91.73,7.12,91.30,87.60,100.00,0
1.66,92.30,6.58,91.63,88.82,100.00,0
1.75,91.99,6.97,91.54,88.17,100.00,0
1.84,92.52,6.44,91.69,88.13,100.00,0
1.93,94.27,7.00,94.10,89.94,100.00,0
2.03,91.67,7.16,91.03,88.32,100.00,0
2.12,91.02,9.10,90.93,88.13,100.00,0
2.21,92.75,7.77,91.43,88.87,100.00,0
2.30,91.55,9.08,91.84,89.29,100.00,0
2.39,92.21,7.92,91.62,88.29,100.00,0
2.49,91.92,8.35,91.25,88.70,100.00,0
2.58,95.91,8.48,95.28,92.24,100.00,0
2.67,91.40,8.92,91.16,88.07,100.00,0
2.77,91.98,8.06,91.49,87.82,100.00,0
2.86,92.03,7.88,90.90,88.11,100.00,0
2.95,93.68,8.55,93.25,89.59,100.00,0
3.04,90.75,8.65,90.89,88.36,100.00,0
3.13,92.99,8.08,92.38,88.56,100.00,0
3.23,90.51,7.95,90.21,87.99,100.00,0
3.32,92.62,7.40,92.08,88.76,100.00,0
3.41,90.44,7.46,90.21,87.90,100.00,0
3.50,91.36,7.34,90.78,87.50,100.00,0
3.59,91.92,7.38,91.33,88.42,100.00,0
3.68,91.99,7.32,91.41,88.58,100.00,0
3.78,91.01,7.73,90.56,88.04,100.00,0
3.87,91.11,7.58,90.67,87.83,100.00,0
3.96,93.84,7.36,93.29,90.89,100.00,0
4.05,90.73,7.31,90.02,87.70,100.00,0
4.14,91.88,7.51,91.83,88.70,100.00,0
4.23,91.60,6.99,90.90,87.99,100.00,0
4.33,93.26,7.23,92.67,90.36,100.00,0
4.42,91.32,7.37,90.53,87.89,100.00,0
4.51,91.04,7.52,91.11,88.08,100.00,0
4.60,92.38,7.14,91.87,88.09,100.00,0
4.69,90.97,7.06,90.22,87.69,100.00,0
4.78,90.27,7.42,90.19,88.58,100.00,0
4.87,91.24,6.84,90.65,88.63,100.00,0
4.97,92.90,6.76,92.38,90.07,100.00,0
5.06,91.99,7.05,91.54,88.74,100.00,0
5.15,91.41,7.33,90.75,88.45,100.00,0
5.24,90.90,6.89,90.40,87.86,100.00,0
