Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,9.62,5.56,9.29,6.98,100.00,0
50,9.99,5.79,9.65,7.13,100.00,0
75,10.41,6.04,10.06,7.31,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,10.46,5.52,9.73,6.75,100.00,0
0.01,9.80,6.73,9.71,6.82,100.00,0
0.02,10.34,6.06,10.18,7.12,100.00,0
0.03,10.45,5.92,9.99,6.89,100.00,0
0.04,9.81,5.74,9.58,6.72,100.00,0
0.05,9.83,5.76,9.40,6.60,100.00,0
0.06,10.20,5.98,9.83,6.78,100.00,0
0.07,9.10,6.44,9.13,6.79,100.00,0
0.08,10.46,5.90,9.61,6.85,100.00,0
0.09,11.40,5.99,10.95,7.53,100.00,0
0.10,10.36,6.28,10.03,7.34,100.00,0
0.11,10.24,6.53,9.54,6.89,100.00,0
0.12,9.50,6.86,9.59,6.82,100.00,0
0.13,10.06,6.30,9.88,6.85,100.00,0
0.14,10.45,6.15,10.17,6.82,100.00,0
0.15,9.74,5.96,9.29,6.75,100.00,0
0.16,9.66,6.63,9.21,6.69,100.00,0
0.17,9.77,6.15,9.69,6.87,100.00,0
0.18,10.91,5.90,10.49,6.81,100.00,0
0.19,9.95,6.23,9.47,6.98,100.00,0
0.20,9.57,6.58,9.37,7.14,100.00,0
0.21,11.01,6.78,10.67,6.81,100.00,0
0.22,9.39,6.05,9.18,6.82,100.00,0
0.23,10.20,6.61,9.80,6.67,100.00,0
0.24,10.13,6.39,9.52,6.72,100.00,0
0.25,9.32,5.87,8.97,6.72,100.00,0
0.26,9.74,5.51,9.46,7.31,100.00,0
0.27,9.43,5.41,8.97,6.94,100.00,0
0.28,9.67,5.44,9.30,6.83,100.00,0
0.29,10.11,5.48,9.42,6.74,100.00,0
0.30,9.30,6.36,9.18,6.76,100.00,0
0.31,9.53,6.01,9.39,6.80,100.00,0
0.32,9.05,5.64,8.84,6.89,100.00,0
0.33,9.74,5.51,9.38,6.87,100.00,0
0.34,10.14,5.74,9.66,6.90,100.00,0
0.35,9.23,6.03,9.11,7.32,100.00,0
0.36,11.30,5.80,10.71,7.02,100.00,0
0.37,10.64,6.39,9.98,6.92,100.00,0
0.38,10.65,6.55,10.81,6.86,100.00,0
0.39,10.64,6.79,10.35,8.26,100.00,0
0.40,9.58,5.47,9.10,6.90,100.00,0
0.41,9.75,6.08,9.59,6.83,100.00,0
0.42,9.83,5.52,9.47,6.87,100.00,0
0.43,9.43,5.84,9.10,6.82,100.00,0
0.44,9.98,5.49,9.70,6.76,100.00,0
0.45,9.24,6.17,9.09,6.91,100.00,0
0.46,9.69,5.56,9.23,6.89,100.00,0
0.47,9.48,5.71,9.18,6.95,100.00,0
0.48,9.68,5.58,9.45,7.06,100.00,0
0.49,9.73,5.80,9.54,7.03,100.00,0
0.50,10.77,5.79,10.00,6.92,100.00,0
0.51,10.34,6.37,10.46,6.82,100.00,0
0.52,9.95,5.94,9.61,7.27,100.00,0
0.53,10.03,5.57,9.77,6.79,100.00,0
0.54,10.77,5.78,9.99,6.94,100.00,0
0.55,10.88,6.43,10.81,6.89,100.00,0
0.56,10.25,5.63,10.04,6.69,100.00,0
0.57,9.46,5.60,9.38,7.15,100.00,0
0.58,10.87,6.12,9.86,6.71,100.00,0
0.59,9.28,6.53,9.59,6.61,100.00,0
0.60,10.80,5.50,10.24,6.54,100.00,0
0.61,9.78,5.86,9.69,7.07,100.00,0
0.62,9.43,5.60,8.98,6.66,100.00,0
0.63,9.97,5.54,9.68,6.58,100.00,0
0.64,10.07,5.69,9.87,6.56,100.00,0
0.65,9.57,5.43,9.16,6.64,100.00,0
0.66,9.57,5.54,9.09,6.68,100.00,0
0.67,10.26,6.18,9.77,6.75,100.00,0
0.68,9.66,6.44,9.59,6.79,100.00,0
