Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,12.51,4.93,12.09,10.06,100.00,0
50,13.19,5.15,12.80,10.23,100.00,0
75,13.93,5.40,13.52,10.43,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,13.78,5.89,13.33,9.83,100.00,0
0.01,12.93,5.71,12.76,9.48,100.00,0
0.03,12.83,5.20,12.25,9.43,100.00,0
0.04,13.37,5.13,13.28,9.78,100.00,0
0.05,13.79,4.58,13.22,9.48,100.00,0
0.07,12.96,4.95,12.04,10.78,100.00,0
0.08,12.51,5.71,12.45,9.40,100.00,0
0.09,12.14,5.55,11.66,9.34,100.00,0
0.10,11.92,5.39,11.76,9.53,100.00,0
0.12,12.13,5.57,11.83,9.64,100.00,0
0.13,12.11,5.12,11.34,9.83,100.00,0
0.14,11.60,5.24,11.22,10.15,100.00,0
0.15,11.75,5.18,10.96,9.71,100.00,0
0.16,12.08,5.34,12.21,9.88,100.00,0
0.18,11.88,4.96,11.06,9.86,100.00,0
0.19,12.60,5.51,12.47,9.86,100.00,0
0.20,12.04,5.70,11.55,9.99,100.00,0
0.21,13.64,5.54,13.26,9.84,100.00,0
0.23,13.20,5.31,12.61,9.98,100.00,0
0.24,13.19,6.05,12.84,9.82,100.00,0
0.25,14.39,5.27,14.16,9.74,100.00,0
0.27,12.18,5.13,11.60,10.53,100.00,0
0.28,13.85,5.28,13.67,9.46,100.00,0
0.29,12.37,5.43,11.94,9.70,100.00,0
0.31,11.44,4.68,11.08,9.57,100.00,0
0.32,12.35,4.43,11.97,9.67,100.00,0
0.33,13.54,4.89,12.96,9.65,100.00,0
0.34,14.38,5.14,13.60,9.79,100.00,0
0.36,12.93,5.35,12.75,9.40,100.00,0
0.37,13.09,5.15,12.58,9.80,100.00,0
0.38,14.41,5.76,13.86,9.38,100.00,0
0.40,14.13,5.07,13.79,9.84,100.00,0
0.41,12.74,5.55,11.97,10.05,100.00,0
0.42,13.51,5.22,13.39,9.38,100.00,0
0.44,11.88,4.65,11.66,10.03,100.00,0
0.45,13.35,4.85,12.88,9.55,100.00,0
0.46,13.11,6.33,12.69,9.97,100.00,0
0.48,12.38,5.19,12.14,9.63,100.00,0
0.49,11.93,4.86,11.70,9.75,100.00,0
0.50,13.16,4.74,12.50,9.60,100.00,0
0.51,13.11,4.88,12.74,9.65,100.00,0
0.53,12.97,5.13,12.49,10.29,100.00,0
0.54,13.57,5.16,13.04,9.69,100.00,0
0.55,13.81,5.27,13.45,10.09,100.00,0
0.57,13.67,5.23,13.05,9.54,100.00,0
0.58,14.28,5.57,14.02,9.51,100.00,0
0.59,12.74,5.63,12.43,10.02,100.00,0
0.61,12.48,5.21,12.26,9.60,100.00,0
0.62,11.72,5.10,10.85,9.97,100.00,0
0.63,12.05,5.47,11.78,9.67,100.00,0
0.64,11.94,5.48,10.83,9.83,100.00,0
0.66,10.81,5.96,11.06,9.92,100.00,0
0.67,13.48,5.26,13.17,9.99,100.00,0
0.68,12.79,5.88,12.36,12.10,100.00,0
0.69,12.49,5.78,11.43,10.31,100.00,0
0.71,12.11,6.11,11.93,10.16,100.00,0
0.72,13.99,6.25,13.63,10.31,100.00,0
0.73,13.21,5.80,12.06,12.09,100.00,0
0.74,12.95,6.56,12.69,10.37,100.00,0
