Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,15.73,5.84,15.41,13.87,100.00,0
50,16.24,6.86,15.84,14.15,100.00,0
75,16.75,7.35,16.28,14.43,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,16.91,15.01,16.44,0.00,100.00,0
0.02,15.50,8.37,15.44,14.29,100.00,0
0.03,16.63,7.36,16.47,14.50,100.00,0
0.05,16.75,6.74,16.34,14.43,100.00,0
0.07,17.07,6.83,16.74,14.13,100.00,0
0.08,15.43,6.84,14.85,13.80,100.00,0
0.10,15.86,7.42,15.49,13.47,100.00,0
0.11,15.87,7.03,15.45,13.79,100.00,0
0.13,16.08,7.17,15.45,13.68,100.00,0
0.15,15.82,7.63,15.45,13.57,100.00,0
0.16,16.18,6.95,15.79,13.78,100.00,0
0.18,15.99,6.90,15.51,13.43,100.00,0
0.19,15.40,6.85,14.90,13.35,100.00,0
0.21,16.24,7.16,15.66,13.39,100.00,0
0.23,15.45,7.14,14.91,13.22,100.00,0
0.24,15.92,7.67,15.51,13.52,100.00,0
0.26,16.62,7.62,16.91,13.56,100.00,0
0.27,15.84,6.51,15.16,13.36,100.00,0
0.29,15.62,7.11,15.27,13.46,100.00,0
0.31,15.86,7.15,15.16,13.37,100.00,0
0.32,15.45,7.40,15.19,13.52,100.00,0
0.34,16.58,7.07,15.94,13.45,100.00,0
0.35,15.74,7.28,15.32,13.88,100.00,0
0.37,16.59,7.99,15.79,13.68,100.00,0
0.39,16.05,7.48,15.70,13.81,100.00,0
0.40,15.80,7.53,15.73,13.79,100.00,0
0.42,15.69,7.13,15.27,13.77,100.00,0
0.43,16.00,6.74,15.59,13.42,100.00,0
0.45,15.73,6.57,15.21,13.07,100.00,0
0.46,16.36,6.83,15.42,13.56,100.00,0
0.48,16.35,7.75,15.91,13.90,100.00,0
0.50,15.81,7.22,15.40,13.99,100.00,0
0.51,16.08,8.43,15.91,13.86,100.00,0
0.53,16.08,7.64,15.50,13.95,100.00,0
0.55,16.78,7.09,16.17,14.09,100.00,0
0.56,15.60,7.35,15.41,13.89,100.00,0
0.58,16.31,7.38,15.93,13.90,100.00,0
0.59,16.20,7.17,15.80,14.34,100.00,0
0.61,16.72,6.70,16.13,14.17,100.00,0
0.63,16.39,6.77,15.99,14.03,100.00,0
0.64,16.61,7.02,16.08,14.28,100.00,0
0.66,16.92,7.03,16.27,14.30,100.00,0
0.68,16.34,7.21,15.91,13.70,100.00,0
0.69,17.45,7.81,17.10,13.64,100.00,0
0.71,15.73,7.87,15.42,13.74,100.00,0
0.73,15.82,7.39,15.34,13.58,100.00,0
0.74,16.23,7.31,15.91,13.92,100.00,0
0.76,16.37,7.69,15.95,13.95,100.00,0
0.77,16.41,7.49,15.71,13.84,100.00,0
0.79,15.97,8.32,15.88,13.96,100.00,0
0.81,16.41,7.91,15.97,13.81,100.00,0
0.82,15.94,7.88,15.33,13.92,100.00,0
0.84,16.23,8.50,15.96,13.95,100.00,0
0.86,16.66,7.90,16.07,14.10,100.00,0
0.87,15.48,7.93,15.27,13.75,100.00,0
0.89,15.73,7.89,15.14,13.23,100.00,0
0.90,15.60,7.98,15.33,13.31,100.00,0
0.92,15.98,7.93,15.62,13.63,100.00,0
0.94,15.98,7.67,15.54,13.67,100.00,0
0.95,16.37,7.79,15.83,13.87,100.00,0
0.97,16.27,7.75,15.70,13.98,100.00,0
0.98,15.95,8.09,15.55,13.91,100.00,0
1.00,17.26,8.10,16.80,14.22,100.00,0
1.02,16.66,7.89,16.32,14.21,100.00,0
