Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,307.86,224.11,307.14,304.54,100.00,0
50,310.82,231.35,310.40,307.45,100.00,0
75,314.05,239.34,313.31,310.57,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,252.53,253.39,242.20,0.00,100.00,0
0.25,259.02,252.47,274.50,299.17,100.00,0
0.51,310.90,214.34,309.78,303.50,100.00,0
0.82,302.63,251.13,302.07,302.72,100.00,0
1.13,307.44,244.85,306.81,299.32,100.00,0
1.43,304.92,217.62,303.99,303.98,100.00,0
1.74,305.66,230.55,304.62,303.85,100.00,0
2.04,302.05,264.21,301.36,299.15,100.00,0
2.35,309.83,231.43,309.34,303.68,100.00,0
2.65,310.82,235.02,310.02,303.04,100.00,0
2.97,303.12,224.97,302.42,304.10,100.00,0
3.27,304.05,229.74,303.42,301.56,100.00,0
3.57,308.69,227.18,308.38,304.53,100.00,0
3.88,303.61,213.44,303.09,300.68,100.00,0
4.19,306.27,216.57,305.88,304.98,100.00,0
4.49,305.87,216.38,305.25,302.06,100.00,0
4.80,305.73,237.03,305.13,302.39,100.00,0
5.10,305.58,248.94,305.16,303.47,100.00,0
5.41,307.04,218.10,306.59,302.42,100.00,0
5.72,304.97,232.73,304.08,302.48,100.00,0
6.02,301.85,249.39,301.17,297.42,100.00,0
6.32,307.88,267.90,307.74,303.81,100.00,0
6.63,308.28,250.45,307.56,304.97,100.00,0
6.94,308.41,219.27,307.77,304.94,100.00,0
7.25,304.18,234.02,303.44,304.21,100.00,0
7.55,316.66,230.37,316.61,302.12,100.00,0
7.87,303.69,214.16,302.86,311.92,100.00,0
8.17,311.76,242.80,304.00,302.75,100.00,0
8.48,302.73,265.51,309.37,302.69,100.00,0
8.79,304.29,224.40,304.24,301.85,100.00,0
9.09,307.79,238.07,307.29,303.56,100.00,0
9.40,304.27,220.81,303.48,299.90,100.00,0
9.70,307.92,227.31,306.36,305.63,100.00,0
10.01,301.39,224.98,302.16,300.76,100.00,0
10.31,306.84,220.81,306.02,303.63,100.00,0
10.62,321.16,234.36,320.88,303.97,100.00,0
10.94,292.20,237.26,291.72,304.06,100.00,0
11.23,308.10,241.68,306.89,302.43,100.00,0
11.54,306.90,211.98,306.61,304.33,100.00,0
11.85,305.50,230.89,304.93,303.71,100.00,0
12.15,307.25,231.53,306.65,304.71,100.00,0
12.46,309.38,224.11,309.11,301.66,100.00,0
12.77,318.03,234.66,317.14,313.46,100.00,0
13.09,309.81,219.36,309.34,307.84,100.00,0
13.40,304.44,231.28,303.93,304.07,100.00,0
13.70,314.21,225.42,313.53,301.07,100.00,0
14.02,307.69,227.13,307.51,313.47,100.00,0
14.32,307.76,233.08,307.14,303.21,100.00,0
14.63,308.98,232.02,308.51,306.84,100.00,0
14.94,308.40,241.98,307.65,305.22,100.00,0
15.25,306.72,228.86,306.28,305.05,100.00,0
15.56,305.97,230.33,305.40,299.99,100.00,0
15.86,315.21,235.62,314.76,306.33,100.00,0
16.18,312.01,233.05,311.34,311.85,100.00,0
16.49,307.07,231.35,306.32,304.57,100.00,0
16.80,311.93,228.99,311.70,308.10,100.00,0
17.11,309.88,240.57,309.29,309.48,100.00,0
17.42,307.78,233.74,307.01,304.54,100.00,0
17.73,319.04,252.30,318.50,313.65,100.00,0
18.04,307.86,216.25,307.49,306.62,100.00,0
18.35,307.75,236.35,304.72,304.97,100.00,0
