Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,217.41,134.29,175.27,214.43,100.00,0
50,221.21,141.40,219.69,216.53,100.00,0
75,223.94,148.18,222.84,218.54,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,186.70,171.78,29.18,0.00,100.00,0
0.19,131.28,134.37,170.12,218.76,100.00,0
0.32,330.71,109.21,446.86,216.45,100.00,0
0.65,157.23,157.07,29.35,211.02,100.00,0
0.81,167.66,123.85,138.33,215.37,100.00,0
0.97,223.25,122.95,176.26,216.53,100.00,0
1.20,224.47,142.59,220.89,214.18,100.00,0
1.42,217.15,150.08,225.03,211.54,100.00,0
1.64,222.09,145.27,216.26,216.53,100.00,0
1.86,327.00,138.47,529.78,211.87,100.00,0
2.19,181.42,181.08,29.70,211.92,100.00,0
2.37,150.70,152.16,162.65,221.62,100.00,0
2.52,219.76,101.29,151.58,213.96,100.00,0
2.74,215.17,144.88,223.24,210.87,100.00,0
2.95,324.11,132.15,519.35,206.39,100.00,0
3.28,172.20,171.51,31.33,215.74,100.00,0
3.45,169.00,111.60,157.60,224.97,100.00,0
3.62,228.04,149.79,228.59,224.08,100.00,0
3.85,217.53,143.91,166.90,213.92,100.00,0
4.07,224.27,140.29,219.92,216.70,100.00,0
4.29,220.57,139.60,225.06,216.89,100.00,0
4.51,217.76,139.70,216.71,213.51,100.00,0
4.73,219.58,143.38,217.35,214.10,100.00,0
4.95,224.06,141.94,218.74,218.16,100.00,0
5.17,217.44,138.89,221.95,213.71,100.00,0
5.39,331.19,132.36,530.11,214.26,100.00,0
5.72,137.17,137.36,25.13,220.25,100.00,0
5.86,192.12,111.32,125.95,216.40,100.00,0
6.05,220.80,138.36,195.71,214.20,100.00,0
6.27,224.40,134.29,218.75,212.78,100.00,0
6.49,322.37,132.03,527.23,206.35,100.00,0
6.82,163.53,165.80,28.59,212.43,100.00,0
6.98,164.28,102.44,147.03,218.18,100.00,0
7.14,218.07,139.84,169.90,212.71,100.00,0
7.36,222.49,141.09,216.70,215.32,100.00,0
7.59,214.17,141.14,221.81,210.52,100.00,0
7.80,221.11,145.14,213.30,215.25,100.00,0
8.02,221.34,141.05,220.50,217.09,100.00,0
8.24,220.64,146.29,220.62,216.18,100.00,0
8.46,217.85,150.84,218.63,213.51,100.00,0
8.68,324.07,129.21,523.24,211.06,100.00,0
9.00,157.35,158.04,28.28,210.34,100.00,0
9.16,167.30,119.17,141.75,216.52,100.00,0
9.33,218.65,115.09,173.29,214.74,100.00,0
9.55,218.28,142.23,215.86,214.43,100.00,0
9.77,218.38,137.50,218.37,212.13,100.00,0
9.98,221.21,139.71,217.53,216.11,100.00,0
10.21,218.65,138.38,219.20,214.74,100.00,0
10.42,219.35,142.09,217.78,213.64,100.00,0
10.64,218.87,147.18,219.10,214.60,100.00,0
10.86,325.53,128.33,525.35,208.95,100.00,0
11.19,166.57,166.55,28.64,214.46,100.00,0
11.35,169.24,106.68,150.48,216.95,100.00,0
11.52,221.04,130.95,175.58,214.62,100.00,0
11.75,219.85,141.57,218.11,216.48,100.00,0
11.96,214.55,141.71,219.91,209.53,100.00,0
12.18,219.35,140.95,213.03,214.00,100.00,0
12.40,323.90,124.79,524.30,211.39,100.00,0
12.72,159.26,160.57,28.89,210.87,100.00,0
12.88,166.89,116.31,142.48,217.09,100.00,0
13.05,221.48,127.77,172.55,216.50,100.00,0
13.27,219.09,138.11,219.99,215.31,100.00,0
13.49,216.86,152.76,218.27,211.43,100.00,0
13.71,218.96,141.29,216.12,215.20,100.00,0
13.93,219.03,148.70,217.98,214.75,100.00,0
14.14,218.75,155.82,218.77,212.78,100.00,0
14.36,218.15,145.57,218.14,214.50,100.00,0
14.58,220.66,142.33,217.57,215.12,100.00,0
14.80,220.76,140.96,219.87,215.21,100.00,0
15.02,217.46,140.59,220.17,213.67,100.00,0
15.24,220.79,149.29,216.82,216.39,100.00,0
15.46,327.18,138.96,527.94,213.19,100.00,0
15.79,173.11,172.53,28.36,213.08,100.00,0
15.96,262.88,90.39,407.19,216.18,100.00,0
16.22,154.66,156.35,28.43,214.04,100.00,0
16.38,179.56,113.07,138.44,218.52,100.00,0
16.56,216.89,129.72,184.17,211.46,100.00,0
16.78,218.45,140.25,217.44,214.67,100.00,0
16.99,215.98,137.09,215.50,212.28,100.00,0
17.21,219.60,145.47,218.16,215.19,100.00,0
17.43,220.34,135.49,216.67,216.10,100.00,0
17.65,217.78,143.24,219.69,215.26,100.00,0
17.87,222.36,141.17,218.81,217.03,100.00,0
18.09,220.58,155.61,219.13,214.94,100.00,0
18.31,219.78,153.80,219.69,216.44,100.00,0
18.53,221.57,147.00,218.89,217.78,100.00,0
18.75,218.89,145.76,221.22,214.15,100.00,0
18.97,219.06,149.37,218.35,214.51,100.00,0
19.19,222.58,156.00,217.96,217.99,100.00,0
19.41,218.38,139.92,221.67,214.18,100.00,0
19.63,221.18,141.98,218.04,215.35,100.00,0
19.85,328.45,128.47,530.07,212.88,100.00,0
20.18,169.73,167.70,29.32,213.69,100.00,0
20.35,160.15,109.71,153.47,220.78,100.00,0
20.51,220.37,138.94,163.47,215.69,100.00,0
20.73,217.41,139.97,218.88,214.43,100.00,0
20.95,217.41,150.67,218.67,211.64,100.00,0
21.17,219.74,137.84,215.42,214.87,100.00,0
21.39,227.31,138.19,219.64,214.58,100.00,0
21.61,218.66,148.18,225.46,213.81,100.00,0
21.83,220.39,146.31,219.14,216.68,100.00,0
22.05,220.48,152.65,218.68,215.76,100.00,0
22.27,222.73,141.74,219.54,217.38,100.00,0
22.49,332.52,159.46,536.67,217.68,100.00,0
22.83,154.69,156.22,29.20,213.49,100.00,0
22.98,173.79,116.29,137.83,218.79,100.00,0
23.16,332.23,117.12,491.96,211.48,100.00,0
23.49,156.45,158.18,28.22,213.72,100.00,0
23.64,169.67,125.98,139.92,218.47,100.00,0
23.81,219.81,114.06,175.32,215.40,100.00,0
24.03,324.89,132.84,524.40,210.98,100.00,0
24.36,164.04,165.06,29.27,212.62,100.00,0
24.52,165.16,114.17,147.11,219.02,100.00,0
24.69,328.94,112.75,479.34,211.23,100.00,0
25.02,159.36,159.84,28.81,219.15,100.00,0
25.18,173.39,116.02,143.46,220.20,100.00,0
25.35,221.99,126.70,177.50,215.71,100.00,0
25.57,220.85,142.69,219.77,216.39,100.00,0
25.79,217.30,140.45,221.05,213.26,100.00,0
26.01,329.93,133.58,527.82,212.01,100.00,0
26.34,166.66,166.40,28.97,215.65,100.00,0
26.51,170.25,112.28,150.85,217.48,100.00,0
26.68,222.30,129.59,175.27,216.43,100.00,0
26.90,222.32,143.73,219.66,217.42,100.00,0
27.12,217.23,140.93,221.10,213.64,100.00,0
27.34,330.40,131.80,528.66,212.98,100.00,0
27.67,156.63,157.76,28.97,212.12,100.00,0
27.83,172.12,99.25,139.65,220.42,100.00,0
28.00,222.04,134.02,177.93,215.76,100.00,0
28.22,219.59,139.59,220.66,215.55,100.00,0
28.44,219.92,144.33,219.25,213.90,100.00,0
28.66,328.36,128.93,528.72,213.68,100.00,0
28.99,163.89,164.70,28.69,212.89,100.00,0
29.15,166.37,112.26,148.06,220.67,100.00,0
29.32,222.90,125.30,170.62,219.17,100.00,0
29.54,221.24,138.85,222.74,216.17,100.00,0
29.76,218.31,142.24,219.58,214.12,100.00,0
29.98,222.63,142.33,218.04,218.27,100.00,0
30.20,222.07,139.75,221.02,217.04,100.00,0
30.42,227.88,156.97,221.47,223.12,100.00,0
30.65,221.24,152.62,228.51,216.22,100.00,0
30.87,219.75,148.77,219.77,216.46,100.00,0
31.09,222.38,142.82,219.02,216.58,100.00,0
31.32,224.77,143.27,221.24,220.54,100.00,0
31.54,227.02,130.88,223.91,215.08,100.00,0
31.77,221.88,150.48,226.83,216.75,100.00,0
31.99,221.83,139.94,221.75,216.78,100.00,0
32.21,221.94,141.91,222.36,218.54,100.00,0
32.43,222.76,141.17,221.11,216.33,100.00,0
32.66,219.96,138.48,221.02,217.07,100.00,0
32.88,220.60,140.79,219.40,216.46,100.00,0
33.10,221.79,149.44,220.53,216.59,100.00,0
33.32,223.77,140.14,221.07,219.15,100.00,0
33.54,221.88,134.86,222.69,217.59,100.00,0
33.76,330.29,127.44,532.95,210.56,100.00,0
34.09,165.27,165.91,28.51,213.89,100.00,0
34.26,164.75,123.22,149.79,220.25,100.00,0
34.42,224.24,120.34,168.75,219.17,100.00,0
34.65,220.10,152.02,222.71,216.49,100.00,0
34.87,234.25,152.93,219.78,228.60,100.00,0
35.10,222.83,133.15,234.07,218.23,100.00,0
35.33,221.09,146.45,221.64,217.01,100.00,0
35.55,331.11,125.88,532.95,212.92,100.00,0
35.88,176.10,174.51,28.68,217.21,100.00,0
36.05,155.16,112.68,160.52,220.28,100.00,0
36.21,223.34,120.73,158.42,217.92,100.00,0
36.43,223.31,138.95,222.39,219.29,100.00,0
36.66,219.61,142.90,222.43,211.94,100.00,0
36.88,223.21,147.94,218.68,217.53,100.00,0
37.10,224.01,148.76,222.79,220.11,100.00,0
