Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,7.94,3.75,7.65,4.68,100.00,0
50,8.25,3.89,7.95,4.80,100.00,0
75,8.58,4.04,8.25,4.85,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,8.61,3.93,7.79,4.87,100.00,0
0.01,8.08,5.12,8.12,4.83,100.00,0
0.02,8.24,3.68,7.85,4.79,100.00,0
0.02,7.60,3.64,7.40,4.85,100.00,0
0.03,7.93,3.56,7.63,4.58,100.00,0
0.04,8.14,3.67,7.71,4.79,100.00,0
0.05,8.10,3.63,7.70,4.78,100.00,0
0.06,8.86,4.19,8.16,4.59,100.00,0
0.07,8.47,4.49,8.68,4.52,100.00,0
0.07,8.69,3.98,8.45,4.36,100.00,0
0.08,8.37,3.88,8.09,4.43,100.00,0
0.09,7.95,3.92,7.71,4.27,100.00,0
0.10,7.91,3.68,7.71,4.37,100.00,0
0.11,8.10,3.71,7.62,4.42,100.00,0
0.12,8.59,3.92,8.31,4.43,100.00,0
0.12,7.62,4.23,7.44,4.79,100.00,0
0.13,7.40,3.67,7.12,4.83,100.00,0
0.14,7.53,3.61,7.22,4.83,100.00,0
0.15,8.19,3.73,7.81,4.83,100.00,0
0.15,8.10,3.99,8.06,4.59,100.00,0
0.16,8.24,3.67,7.80,4.60,100.00,0
0.17,7.85,4.03,7.69,4.55,100.00,0
0.18,7.80,3.99,7.29,4.49,100.00,0
0.19,7.70,4.82,7.68,4.46,100.00,0
0.19,8.31,4.07,8.01,4.45,100.00,0
0.20,7.96,4.07,7.72,4.42,100.00,0
0.21,8.14,4.14,7.55,4.45,100.00,0
0.22,7.75,3.88,7.31,4.54,100.00,0
0.23,7.90,4.52,7.63,4.39,100.00,0
0.23,7.88,4.25,7.63,4.84,100.00,0
0.24,8.44,3.84,8.13,4.96,100.00,0
0.25,8.13,4.30,7.53,4.68,100.00,0
0.26,7.52,4.16,7.30,4.87,100.00,0
0.27,8.17,4.21,7.86,4.88,100.00,0
0.27,8.16,3.75,8.17,4.81,100.00,0
0.28,7.68,4.09,7.32,4.92,100.00,0
0.29,8.14,4.12,7.83,4.88,100.00,0
0.30,8.22,4.21,7.94,4.68,100.00,0
0.31,8.48,4.40,8.30,4.78,100.00,0
0.31,8.53,4.24,8.13,4.77,100.00,0
0.32,8.25,4.28,7.84,4.83,100.00,0
0.33,8.51,4.29,8.18,4.80,100.00,0
0.34,8.65,4.08,8.23,4.86,100.00,0
0.35,8.06,4.19,7.74,4.84,100.00,0
0.36,8.58,4.21,7.98,4.77,100.00,0
0.37,8.44,4.26,8.08,4.78,100.00,0
0.37,8.94,4.00,8.47,4.43,100.00,0
0.38,7.92,4.65,7.79,4.75,100.00,0
0.39,8.38,4.12,7.71,4.71,100.00,0
0.40,8.71,4.53,8.65,4.36,100.00,0
0.41,7.50,4.43,7.37,4.48,100.00,0
0.42,7.87,4.20,7.36,4.51,100.00,0
0.42,8.08,4.57,7.84,4.49,100.00,0
0.43,8.08,4.56,7.88,4.55,100.00,0
0.44,8.52,3.85,8.13,4.52,100.00,0
0.45,7.48,4.26,7.34,4.52,100.00,0
0.46,7.82,3.85,7.49,4.63,100.00,0
0.46,8.40,4.20,7.93,4.83,100.00,0
0.47,7.86,4.12,7.65,4.89,100.00,0
0.48,8.21,3.92,7.37,4.61,100.00,0
0.49,7.69,4.21,7.45,4.85,100.00,0
0.50,7.95,4.37,7.80,4.71,100.00,0
0.50,8.48,3.59,8.19,4.60,100.00,0
0.51,8.85,4.20,8.51,4.93,100.00,0
0.52,8.31,4.56,8.16,4.91,100.00,0
0.53,7.81,3.77,7.38,4.62,100.00,0
0.54,7.91,3.63,7.53,4.80,100.00,0
0.54,8.35,4.03,8.01,4.67,100.00,0
