Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,528.30,528.35,6.97,14.64,100.00,0
50,531.65,531.58,7.12,15.40,100.00,0
75,537.25,537.27,7.30,16.51,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,534.38,533.80,7.37,0.00,100.00,0
0.53,543.63,543.47,6.75,16.22,100.00,0
1.08,551.74,551.79,6.78,18.46,100.00,0
1.63,548.05,548.05,7.14,11.93,100.00,0
2.18,562.89,562.21,7.16,14.79,100.00,0
2.74,569.47,569.81,7.03,16.25,100.00,0
3.31,540.82,541.04,7.06,14.50,100.00,0
3.85,518.26,518.98,7.22,13.54,100.00,0
4.37,528.02,528.62,7.32,15.04,100.00,0
4.90,527.70,527.96,7.66,15.10,100.00,0
5.42,520.98,520.98,7.27,11.72,100.00,0
5.95,517.67,517.48,7.13,14.65,100.00,0
6.46,520.52,520.05,7.17,17.19,100.00,0
6.98,532.17,531.80,6.78,12.87,100.00,0
7.52,550.09,549.90,7.27,13.87,100.00,0
8.07,529.83,529.93,7.26,15.31,100.00,0
8.60,545.74,545.71,7.72,20.20,100.00,0
9.14,542.38,542.39,6.76,15.13,100.00,0
9.68,537.25,537.31,7.04,15.25,100.00,0
10.22,531.42,531.58,6.60,15.57,100.00,0
10.75,526.91,527.02,7.68,17.96,100.00,0
11.28,524.93,525.05,7.73,16.37,100.00,0
11.80,529.47,529.23,6.91,16.01,100.00,0
12.33,532.44,532.53,7.26,14.64,100.00,0
12.87,517.75,518.03,7.58,15.40,100.00,0
13.38,527.72,527.56,7.59,14.30,100.00,0
13.91,527.80,527.77,7.26,15.68,100.00,0
14.44,530.00,529.69,6.82,17.03,100.00,0
14.97,531.90,532.05,6.93,15.16,100.00,0
15.50,528.07,528.08,6.62,15.13,100.00,0
16.03,524.64,524.62,6.71,17.25,100.00,0
16.55,532.26,532.12,6.97,14.04,100.00,0
17.09,530.34,530.45,7.34,15.51,100.00,0
17.62,532.60,532.72,7.48,13.07,100.00,0
18.15,526.87,526.94,7.02,15.92,100.00,0
18.68,528.14,528.06,6.63,13.09,100.00,0
19.20,526.75,527.50,8.28,14.94,100.00,0
19.73,530.88,530.06,7.32,16.61,100.00,0
20.26,537.59,537.64,7.54,19.96,100.00,0
20.80,536.29,536.27,7.20,15.21,100.00,0
21.34,535.07,534.99,7.07,14.66,100.00,0
21.87,523.34,523.48,7.36,14.81,100.00,0
22.39,530.41,530.73,7.16,15.21,100.00,0
22.93,535.80,535.36,7.30,17.50,100.00,0
23.46,556.48,560.31,7.05,23.69,100.00,0
24.02,536.01,532.75,6.77,18.70,100.00,0
24.55,524.78,523.87,7.21,12.37,100.00,0
25.08,531.45,531.46,7.64,16.80,100.00,0
25.61,532.44,532.55,7.37,15.21,100.00,0
26.14,528.71,528.65,7.08,13.89,100.00,0
26.67,530.18,530.10,7.12,18.21,100.00,0
27.20,526.00,526.05,6.90,15.22,100.00,0
27.73,525.02,525.02,7.18,17.07,100.00,0
28.25,531.84,531.83,7.52,17.13,100.00,0
28.78,528.42,528.39,7.40,14.82,100.00,0
29.31,529.85,529.86,6.75,15.99,100.00,0
29.84,525.30,525.29,6.97,14.38,100.00,0
30.37,527.55,527.67,7.07,15.02,100.00,0
30.90,528.38,528.29,7.24,15.92,100.00,0
31.42,533.35,533.26,6.92,16.66,100.00,0
31.96,536.78,536.85,7.18,15.03,100.00,0
32.49,531.67,531.55,7.14,19.74,100.00,0
33.03,543.43,543.26,7.30,16.98,100.00,0
33.57,585.53,585.77,7.15,22.01,100.00,0
34.15,584.03,583.56,7.30,21.14,100.00,0
34.74,554.38,554.83,7.59,26.39,100.00,0
35.29,547.26,547.31,7.55,15.86,100.00,0
35.84,537.45,537.33,7.34,14.14,100.00,0
36.38,540.80,540.85,7.14,15.43,100.00,0
36.92,537.87,537.93,6.74,16.51,100.00,0
37.46,539.09,539.01,6.81,15.30,100.00,0
38.00,535.77,535.74,6.83,13.30,100.00,0
38.53,539.95,539.98,7.05,15.65,100.00,0
39.07,537.78,537.66,6.85,15.38,100.00,0
39.61,541.74,541.90,7.04,16.05,100.00,0
40.15,537.44,537.45,7.10,15.29,100.00,0
40.69,535.89,535.88,7.03,16.24,100.00,0
41.22,533.00,533.00,6.96,14.41,100.00,0
41.76,539.16,539.14,7.16,17.12,100.00,0
42.30,541.51,541.53,7.10,14.90,100.00,0
42.84,529.80,529.79,7.06,17.82,100.00,0
43.37,532.59,532.51,7.39,15.87,100.00,0
43.90,531.81,531.44,6.97,14.32,100.00,0
44.43,535.52,535.82,6.99,17.07,100.00,0
44.97,535.52,535.63,7.16,14.68,100.00,0
45.50,529.81,529.85,7.09,15.45,100.00,0
46.03,530.24,530.34,7.06,15.40,100.00,0
46.56,528.30,528.35,7.06,15.87,100.00,0
47.09,532.65,532.40,6.86,16.08,100.00,0
47.62,531.48,531.55,7.02,16.09,100.00,0
48.15,528.36,528.35,6.84,14.48,100.00,0
48.68,528.30,528.31,6.77,15.65,100.00,0
49.21,528.98,528.88,7.10,15.67,100.00,0
49.74,528.58,528.70,7.34,16.24,100.00,0
50.27,528.91,528.95,7.21,15.28,100.00,0
50.80,528.99,529.49,6.85,13.71,100.00,0
51.33,527.18,526.61,7.16,14.05,100.00,0
51.85,552.19,551.97,7.21,14.12,100.00,0
52.41,549.48,549.68,7.40,22.52,100.00,0
52.96,540.48,540.42,7.05,15.17,100.00,0
53.50,544.59,544.48,7.12,14.45,100.00,0
54.04,530.57,530.77,7.20,15.86,100.00,0
54.57,528.12,528.28,6.99,14.20,100.00,0
55.10,517.72,517.56,7.30,12.98,100.00,0
55.62,526.02,525.96,6.76,14.67,100.00,0
56.14,518.04,518.15,7.23,15.17,100.00,0
56.66,525.85,525.69,7.17,15.96,100.00,0
57.19,532.20,532.11,7.15,13.59,100.00,0
57.72,531.29,531.46,7.39,16.99,100.00,0
58.25,542.57,542.36,7.39,16.19,100.00,0
58.79,524.58,524.79,7.00,14.56,100.00,0
59.32,531.83,531.85,7.07,14.26,100.00,0
59.85,530.27,530.14,7.01,17.20,100.00,0
60.38,530.09,530.21,6.87,15.66,100.00,0
60.91,537.55,537.55,6.98,15.26,100.00,0
61.45,528.47,528.43,7.12,13.35,100.00,0
61.98,536.41,536.39,7.07,19.86,100.00,0
62.51,525.82,526.01,7.22,12.01,100.00,0
63.04,536.02,535.69,6.94,15.19,100.00,0
63.57,534.35,534.47,7.16,14.67,100.00,0
64.11,529.14,529.07,6.88,17.32,100.00,0
64.64,542.37,542.37,6.92,15.93,100.00,0
65.18,527.81,527.84,7.09,13.71,100.00,0
65.71,537.40,537.27,7.18,17.08,100.00,0
66.25,528.53,528.45,6.81,16.23,100.00,0
66.77,524.62,524.87,6.63,14.88,100.00,0
67.30,523.14,522.99,7.17,16.06,100.00,0
67.82,534.26,534.40,7.43,13.20,100.00,0
68.36,536.74,536.65,7.41,13.05,100.00,0
68.89,530.51,530.52,6.88,14.99,100.00,0
69.42,538.30,538.33,7.01,18.97,100.00,0
69.96,529.20,529.24,7.73,17.95,100.00,0
70.49,532.47,532.44,7.40,15.34,100.00,0
71.02,534.58,534.46,7.32,14.12,100.00,0
71.56,535.99,536.08,7.03,15.68,100.00,0
72.09,538.33,538.40,6.96,16.61,100.00,0
72.63,528.44,528.38,6.95,15.69,100.00,0
73.16,539.22,539.18,7.07,15.75,100.00,0
73.70,532.72,532.76,7.10,18.57,100.00,0
74.23,531.62,531.58,7.11,17.04,100.00,0
74.76,530.00,530.02,7.14,19.89,100.00,0
75.29,534.30,534.34,7.07,15.60,100.00,0
75.83,531.65,531.64,7.34,18.28,100.00,0
76.36,524.55,524.38,7.60,14.32,100.00,0
76.88,528.58,528.77,7.24,14.21,100.00,0
77.41,523.26,523.21,7.35,14.68,100.00,0
