Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,894.96,50.26,893.90,890.57,100.00,0
50,923.99,51.84,922.67,920.34,100.00,0
75,953.54,54.31,950.38,946.63,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,1413.11,21.44,1396.33,1397.97,100.00,0
1.41,971.24,85.36,972.82,1074.04,100.00,0
2.38,980.58,65.23,970.97,945.23,100.00,0
3.36,1033.84,92.76,1041.19,1057.63,100.00,0
4.40,942.33,86.83,956.70,952.19,100.00,0
5.34,955.06,18.23,949.79,947.58,100.00,0
6.30,968.15,30.40,958.24,954.15,100.00,0
7.26,969.26,44.18,968.75,962.01,100.00,0
8.23,975.95,49.84,967.91,966.03,100.00,0
9.21,961.25,64.21,960.30,958.04,100.00,0
10.17,958.24,82.44,965.08,959.05,100.00,0
11.13,957.60,58.68,958.63,956.93,100.00,0
12.09,955.02,51.12,958.23,953.09,100.00,0
13.04,963.04,38.98,964.34,960.39,100.00,0
14.00,960.74,34.42,955.22,950.66,100.00,0
14.97,981.87,44.66,974.70,961.84,100.00,0
15.95,963.36,72.90,964.65,968.98,100.00,0
16.91,973.63,63.50,968.22,960.77,100.00,0
17.88,1416.66,66.14,1423.81,1300.10,100.00,0
19.30,964.25,56.21,967.40,1067.79,100.00,0
20.27,964.80,46.90,963.22,957.99,100.00,0
21.23,1421.14,52.93,1419.55,1291.46,100.00,0
22.65,1410.68,49.25,1406.65,1397.57,100.00,0
24.06,1407.47,62.08,1404.16,1406.65,100.00,0
25.47,961.53,74.56,965.85,1067.36,100.00,0
26.43,974.13,58.49,970.92,951.58,100.00,0
27.40,1394.67,60.73,1398.28,1284.13,100.00,0
28.80,1410.81,75.66,1408.86,1404.55,100.00,0
30.21,1401.45,53.82,1396.93,1391.65,100.00,0
31.61,969.12,69.25,972.19,1074.93,100.00,0
32.58,960.23,58.19,957.96,951.38,100.00,0
33.54,968.83,65.13,966.44,956.47,100.00,0
34.51,955.75,56.42,956.15,953.80,100.00,0
35.47,950.62,55.84,951.21,946.63,100.00,0
36.42,948.46,51.82,950.29,946.70,100.00,0
37.36,949.36,47.71,946.65,942.22,100.00,0
38.31,958.93,48.64,950.66,946.17,100.00,0
39.27,964.70,59.42,968.22,953.67,100.00,0
40.24,940.23,57.61,944.56,951.85,100.00,0
41.18,953.54,55.07,948.07,945.17,100.00,0
42.13,946.25,57.02,948.01,942.64,100.00,0
43.08,947.23,52.45,945.31,942.92,100.00,0
44.03,943.31,54.66,943.63,940.21,100.00,0
44.97,955.75,52.25,955.20,950.72,100.00,0
45.92,946.01,50.65,946.24,940.33,100.00,0
46.87,954.13,52.26,952.73,945.07,100.00,0
47.82,950.46,49.10,950.38,951.95,100.00,0
48.77,954.43,50.58,944.10,938.47,100.00,0
49.73,933.85,61.78,941.41,939.01,100.00,0
50.66,948.45,54.98,949.43,944.26,100.00,0
51.61,941.98,50.96,942.02,939.85,100.00,0
52.55,944.30,49.48,942.01,937.19,100.00,0
53.50,939.31,54.03,938.78,934.95,100.00,0
54.44,938.26,51.61,937.65,934.02,100.00,0
55.38,951.38,52.73,949.63,945.90,100.00,0
56.33,938.34,54.16,937.62,935.90,100.00,0
57.27,932.09,52.48,934.23,930.22,100.00,0
