Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,49.74,25.94,49.11,46.85,100.00,0
50,50.93,26.63,50.28,47.69,100.00,0
75,52.10,27.51,51.30,48.26,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,50.11,27.43,49.58,0.00,100.00,0
0.05,50.83,26.40,49.96,46.30,100.00,0
0.10,49.10,26.85,48.09,46.15,100.00,0
0.15,47.66,26.53,47.63,44.31,100.00,0
0.20,49.98,27.88,49.55,45.77,100.00,0
0.25,49.13,27.72,48.31,46.52,100.00,0
0.30,50.24,25.47,49.44,46.56,100.00,0
0.35,47.36,33.89,46.80,45.42,100.00,0
0.39,50.83,26.05,50.24,46.38,100.00,0
0.45,49.89,25.07,49.24,47.00,100.00,0
0.50,49.05,25.75,48.40,45.48,100.00,0
0.54,49.38,26.01,48.37,46.39,100.00,0
0.59,51.33,27.08,50.05,47.29,100.00,0
0.64,48.40,26.01,48.08,46.79,100.00,0
0.69,49.43,34.11,49.85,46.68,100.00,0
0.74,49.72,25.72,49.10,46.90,100.00,0
0.79,50.75,25.63,50.67,46.64,100.00,0
0.84,50.55,26.08,49.85,46.22,100.00,0
0.89,49.84,27.35,49.17,46.99,100.00,0
0.94,48.05,26.09,47.43,46.93,100.00,0
0.99,48.00,25.85,47.18,44.06,100.00,0
1.04,51.80,25.36,50.81,46.82,100.00,0
1.09,49.27,26.68,49.07,46.72,100.00,0
1.14,49.46,25.85,48.50,46.46,100.00,0
1.19,47.21,26.73,46.52,43.80,100.00,0
1.24,52.84,26.05,52.43,47.50,100.00,0
1.29,46.51,25.77,45.76,45.88,100.00,0
1.34,49.69,27.17,48.88,44.91,100.00,0
1.39,47.26,27.22,46.62,44.93,100.00,0
1.43,51.27,23.62,50.76,47.56,100.00,0
1.48,60.47,25.94,59.67,47.26,100.00,0
1.55,45.57,26.07,45.62,54.57,100.00,0
1.59,52.02,19.61,50.51,46.45,100.00,0
1.64,49.30,25.24,48.88,46.52,100.00,0
1.69,49.67,26.12,49.08,46.64,100.00,0
1.74,50.17,26.47,49.30,45.52,100.00,0
1.79,46.96,28.09,46.45,44.36,100.00,0
1.84,48.41,25.49,47.61,44.71,100.00,0
1.89,49.81,25.39,49.01,46.06,100.00,0
1.94,49.19,27.73,48.65,47.34,100.00,0
1.99,50.12,27.82,49.46,47.03,100.00,0
2.04,50.57,26.41,49.68,46.52,100.00,0
2.09,50.87,27.21,50.46,46.93,100.00,0
2.14,50.56,25.79,47.96,46.56,100.00,0
2.19,48.90,25.25,48.23,46.30,100.00,0
2.24,48.48,25.75,47.74,46.35,100.00,0
2.29,49.25,27.57,48.56,46.67,100.00,0
2.34,50.71,26.09,50.22,46.20,100.00,0
2.39,50.25,27.51,49.58,47.09,100.00,0
2.44,49.55,25.75,48.82,46.90,100.00,0
2.49,50.60,27.06,49.92,46.77,100.00,0
2.54,50.39,24.70,49.72,47.17,100.00,0
2.59,49.61,25.91,49.21,46.61,100.00,0
2.64,49.09,25.18,48.21,44.45,100.00,0
2.69,48.77,25.10,47.95,46.37,100.00,0
2.73,51.71,26.65,50.66,46.59,100.00,0
2.79,50.25,25.14,49.20,46.73,100.00,0
2.84,47.10,26.45,46.68,45.59,100.00,0
2.88,49.44,27.35,48.67,45.81,100.00,0
2.93,51.28,32.44,50.48,47.33,100.00,0
2.98,49.04,28.63,48.69,47.03,100.00,0
3.03,50.11,25.68,49.20,47.35,100.00,0
3.08,51.78,26.67,50.92,46.95,100.00,0
3.13,49.67,26.26,48.96,47.02,100.00,0
3.18,49.02,32.92,48.41,46.61,100.00,0
3.23,47.46,25.30,46.57,44.78,100.00,0
3.28,49.25,24.43,48.74,45.03,100.00,0
3.33,50.15,25.50,49.35,47.18,100.00,0
3.38,49.94,26.16,49.43,46.92,100.00,0
3.43,50.51,27.02,49.89,47.29,100.00,0
3.48,51.21,24.72,50.53,46.92,100.00,0
3.53,49.60,26.91,48.73,47.14,100.00,0
3.58,50.95,26.28,50.51,47.08,100.00,0
3.63,50.14,26.70,49.09,46.98,100.00,0
3.68,48.92,26.89,48.52,45.16,100.00,0
3.73,48.55,31.30,47.69,44.78,100.00,0
3.78,47.37,26.17,47.14,45.85,100.00,0
3.83,51.11,26.54,50.39,46.86,100.00,0
3.88,48.34,25.93,47.82,46.08,100.00,0
3.93,50.01,27.07,49.38,46.15,100.00,0
3.98,51.20,30.20,50.17,47.82,100.00,0
4.03,49.79,26.06,49.43,46.95,100.00,0
4.08,50.83,26.83,50.47,46.81,100.00,0
4.13,50.90,27.95,49.71,47.32,100.00,0
4.18,49.81,25.71,49.00,46.89,100.00,0
4.23,50.70,26.13,50.36,46.86,100.00,0
4.28,49.34,26.23,48.65,47.16,100.00,0
4.33,50.07,26.04,49.46,46.93,100.00,0
4.38,50.30,26.37,49.61,46.90,100.00,0
4.43,51.34,26.70,50.86,46.82,100.00,0
4.48,49.03,26.44,48.28,47.00,100.00,0
4.53,49.91,27.77,49.36,47.06,100.00,0
4.58,48.94,28.56,48.31,45.59,100.00,0
4.63,50.21,26.46,49.66,46.41,100.00,0
4.68,49.69,27.93,48.74,47.44,100.00,0
4.73,49.21,29.15,48.69,44.79,100.00,0
4.78,50.18,26.37,49.53,47.81,100.00,0
4.83,51.39,25.72,50.82,46.89,100.00,0
4.88,48.24,25.46,47.55,46.61,100.00,0
4.93,50.03,27.70,49.38,46.87,100.00,0
4.98,50.16,27.81,49.51,47.13,100.00,0
5.03,50.31,26.01,49.74,46.59,100.00,0
5.08,49.22,25.61,48.55,46.95,100.00,0
5.13,47.81,25.93,47.03,44.66,100.00,0
5.18,51.01,27.06,50.14,46.68,100.00,0
