Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,243.50,17.86,241.67,239.41,100.00,0
50,245.35,18.47,244.36,240.84,100.00,0
75,247.04,18.99,245.99,241.82,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,270.65,18.24,245.67,247.20,100.00,0
0.27,223.72,34.90,245.67,240.03,100.00,0
0.49,239.70,13.69,252.40,235.31,100.00,0
0.73,240.39,15.04,236.43,235.53,100.00,0
0.97,241.14,15.99,238.38,236.63,100.00,0
1.22,240.93,16.22,240.16,235.67,100.00,0
1.46,242.98,15.71,241.22,237.70,100.00,0
1.70,243.22,21.86,241.37,237.24,100.00,0
1.94,241.60,16.25,242.67,236.69,100.00,0
2.18,243.06,15.26,239.25,236.82,100.00,0
2.43,260.28,16.99,241.04,237.39,100.00,0
2.69,230.50,33.75,241.67,237.93,100.00,0
2.92,233.25,21.97,242.43,235.83,100.00,0
3.15,372.45,15.05,580.60,237.61,100.00,0
3.52,124.78,17.50,39.16,243.85,100.00,0
3.65,243.92,18.51,108.63,238.13,100.00,0
3.89,241.29,21.89,242.83,237.53,100.00,0
4.13,243.68,20.10,240.05,238.38,100.00,0
4.38,243.58,20.03,243.91,237.82,100.00,0
4.62,246.08,21.56,240.79,242.42,100.00,0
4.87,377.64,20.29,596.48,239.10,100.00,0
5.24,121.27,18.96,39.25,246.67,100.00,0
5.37,246.18,16.61,115.14,240.44,100.00,0
5.61,246.71,17.79,242.75,240.55,100.00,0
5.86,244.89,17.22,245.35,239.69,100.00,0
6.10,243.92,18.07,240.31,238.09,100.00,0
6.35,242.96,17.74,241.91,237.63,100.00,0
6.59,245.86,17.38,258.80,241.60,100.00,0
6.84,246.21,21.41,228.19,240.35,100.00,0
7.08,247.61,20.09,246.21,241.74,100.00,0
7.33,249.31,19.79,245.66,243.11,100.00,0
7.58,244.49,20.28,247.07,240.87,100.00,0
7.82,244.84,20.17,245.99,240.54,100.00,0
8.07,250.61,19.92,244.13,243.01,100.00,0
8.32,245.62,20.89,247.54,240.24,100.00,0
8.57,239.05,24.94,244.36,236.07,100.00,0
8.80,249.14,18.36,239.96,240.98,100.00,0
9.05,247.71,20.44,246.38,243.01,100.00,0
9.30,242.47,18.60,247.07,239.64,100.00,0
9.54,247.74,18.80,242.49,242.61,100.00,0
9.79,257.68,19.60,248.17,251.52,100.00,0
10.05,242.44,18.76,253.77,237.64,100.00,0
10.29,240.94,18.52,241.56,238.09,100.00,0
10.53,245.70,18.14,242.84,239.72,100.00,0
10.78,241.04,18.92,242.85,237.50,100.00,0
11.02,241.76,17.17,241.72,237.62,100.00,0
11.26,246.70,18.07,241.52,242.01,100.00,0
11.51,248.00,18.05,245.73,243.12,100.00,0
11.76,246.08,18.88,247.21,241.43,100.00,0
12.00,246.08,18.13,245.00,242.68,100.00,0
12.25,369.10,17.85,585.72,238.50,100.00,0
12.62,121.00,17.79,37.68,240.07,100.00,0
12.74,239.92,19.17,108.19,236.68,100.00,0
12.98,248.16,18.32,244.39,242.93,100.00,0
13.23,245.84,18.54,244.57,240.42,100.00,0
13.47,243.39,18.51,243.31,237.92,100.00,0
13.72,244.68,19.93,243.43,240.42,100.00,0
13.96,246.04,18.20,244.70,241.36,100.00,0
14.21,242.09,18.15,243.61,238.05,100.00,0
14.45,244.90,18.21,243.21,240.22,100.00,0
14.69,245.13,17.98,242.09,239.76,100.00,0
14.94,250.82,18.60,244.66,239.36,100.00,0
15.19,371.77,18.85,592.56,238.71,100.00,0
15.56,119.46,18.94,36.92,241.81,100.00,0
15.68,245.29,17.69,109.64,240.08,100.00,0
15.93,246.92,19.22,243.62,243.49,100.00,0
16.17,246.05,18.98,248.77,243.28,100.00,0
16.42,244.18,18.91,244.27,239.41,100.00,0
16.66,246.68,18.02,242.59,241.12,100.00,0
16.91,244.68,18.01,245.31,239.96,100.00,0
17.15,245.09,18.44,244.82,240.68,100.00,0
17.40,245.68,17.86,243.66,240.77,100.00,0
17.64,245.89,19.02,244.55,241.78,100.00,0
17.89,244.40,18.53,245.29,239.76,100.00,0
18.14,244.43,18.59,244.45,238.85,100.00,0
18.38,244.94,18.45,241.53,240.02,100.00,0
18.62,245.65,18.39,244.25,242.02,100.00,0
18.87,245.26,18.64,245.94,239.93,100.00,0
19.12,243.47,19.67,244.18,240.07,100.00,0
19.36,246.85,19.42,243.34,241.98,100.00,0
19.61,245.05,18.07,246.01,241.65,100.00,0
19.85,252.07,17.63,243.50,247.93,100.00,0
20.10,243.78,19.07,249.90,239.85,100.00,0
20.35,245.14,18.51,243.10,240.54,100.00,0
20.59,243.83,18.62,245.89,240.83,100.00,0
20.84,247.41,18.04,241.83,241.44,100.00,0
21.08,241.70,19.30,246.28,238.43,100.00,0
21.32,245.86,18.29,241.50,241.92,100.00,0
21.57,244.70,18.85,245.20,240.19,100.00,0
21.82,244.77,18.70,243.39,240.51,100.00,0
22.06,244.40,18.82,244.16,239.79,100.00,0
22.30,244.87,18.53,242.92,241.15,100.00,0
22.55,244.43,17.53,243.56,239.65,100.00,0
22.79,245.23,18.36,243.99,241.09,100.00,0
23.04,244.79,18.74,244.38,241.30,100.00,0
23.28,246.89,18.09,243.61,241.16,100.00,0
23.53,242.97,19.00,244.24,240.45,100.00,0
23.77,246.19,18.97,243.79,242.00,100.00,0
24.02,245.35,18.70,245.61,245.40,100.00,0
24.27,253.81,13.61,243.19,243.42,100.00,0
24.52,244.73,20.77,253.52,241.95,100.00,0
24.76,243.23,17.90,244.73,240.15,100.00,0
25.01,251.44,17.84,243.58,239.65,100.00,0
25.26,246.60,19.85,250.73,242.38,100.00,0
25.50,241.54,19.53,244.55,238.26,100.00,0
25.75,246.33,17.84,242.75,241.44,100.00,0
25.99,247.33,19.69,243.92,242.88,100.00,0
26.24,243.54,18.33,246.94,238.98,100.00,0
26.48,245.20,19.25,242.67,241.69,100.00,0
26.73,245.55,18.49,244.87,240.81,100.00,0
26.97,246.32,18.15,244.89,242.08,100.00,0
27.22,247.28,18.16,245.62,242.47,100.00,0
27.47,245.37,18.21,248.09,241.37,100.00,0
27.71,246.74,18.73,242.43,241.84,100.00,0
27.96,246.36,18.34,246.04,242.21,100.00,0
28.21,248.40,17.76,246.02,243.07,100.00,0
28.45,247.91,18.63,246.50,241.91,100.00,0
