Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,1990.45,350.25,1984.67,1993.25,100.00,0
50,2013.70,360.16,2020.02,2161.49,100.00,0
75,3181.31,370.58,3182.15,3004.98,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,3294.73,364.77,3293.62,3043.76,100.00,0
3.29,1992.89,388.17,1970.98,2193.50,100.00,0
5.29,2011.12,385.44,2030.78,2018.97,100.00,0
7.30,2027.58,349.55,2030.83,2018.47,100.00,0
9.33,3264.92,360.94,3267.57,3019.17,100.00,0
12.59,1961.66,351.40,1963.09,2191.12,100.00,0
14.55,2047.46,350.25,2022.73,2016.10,100.00,0
16.60,2011.31,330.27,2034.95,2019.26,100.00,0
18.61,2026.25,366.43,2024.27,2011.03,100.00,0
20.64,2031.26,385.67,2029.47,2020.68,100.00,0
22.67,3285.17,363.98,3284.04,3030.88,100.00,0
25.95,1969.23,370.58,1961.27,2190.71,100.00,0
27.92,2013.70,373.19,2020.02,2014.57,100.00,0
29.94,2019.12,352.12,2018.54,2012.08,100.00,0
31.96,3266.06,352.73,3266.05,3017.39,100.00,0
35.22,1965.03,374.16,1964.22,2183.60,100.00,0
37.19,2041.35,366.41,2021.07,2011.17,100.00,0
39.23,1997.87,382.93,2018.16,2008.43,100.00,0
41.23,2030.72,338.43,2030.70,2016.50,100.00,0
43.26,3266.05,356.63,3265.79,3012.52,100.00,0
46.52,3204.78,348.43,3196.47,3187.54,100.00,0
49.73,3203.75,358.72,3210.92,3199.48,100.00,0
52.93,1954.56,363.43,1954.92,2179.93,100.00,0
54.89,2022.08,357.12,2021.02,2007.11,100.00,0
56.91,2021.48,361.94,2019.86,2006.64,100.00,0
58.93,2029.96,366.71,2025.75,2016.67,100.00,0
60.96,3336.27,376.55,3338.65,3058.75,100.00,0
64.30,3296.03,367.07,3296.48,3312.69,100.00,0
67.59,1953.05,354.75,1952.20,2178.86,100.00,0
69.55,2045.95,382.31,2021.48,2008.22,100.00,0
71.59,1994.43,349.44,2016.44,2000.90,100.00,0
73.59,2011.59,364.50,2011.22,2001.35,100.00,0
75.60,3281.34,397.22,3282.00,3026.43,100.00,0
78.88,1940.14,332.81,1939.41,2173.15,100.00,0
80.82,2985.81,355.97,2966.10,3009.13,100.00,0
83.80,3164.45,376.01,3186.77,2878.64,100.00,0
86.97,4036.52,273.41,4032.16,4023.87,100.00,0
91.01,1947.18,362.10,1945.99,2168.17,100.00,0
92.95,1999.32,366.70,1998.26,1998.49,100.00,0
94.95,2003.38,369.26,2003.61,1993.25,100.00,0
96.96,2009.50,370.02,2009.03,2002.69,100.00,0
98.97,2011.21,375.21,2009.76,1992.22,100.00,0
100.98,2005.89,381.30,2005.65,1996.95,100.00,0
102.98,3275.30,337.88,3250.92,2996.53,100.00,0
106.26,1921.21,376.15,1944.15,2171.45,100.00,0
108.18,1999.41,356.15,1998.69,1993.33,100.00,0
110.18,2002.50,370.34,2002.28,1991.63,100.00,0
112.18,1999.15,359.51,1997.82,1992.02,100.00,0
114.18,2983.16,373.51,2970.97,3013.15,100.00,0
117.16,3181.31,353.31,3192.61,2879.15,100.00,0
120.34,3183.74,357.67,3182.66,3177.38,100.00,0
123.53,3192.43,325.86,3191.16,3183.72,100.00,0
126.72,1947.47,337.70,1940.24,2168.93,100.00,0
128.67,1987.57,353.35,1994.96,1983.01,100.00,0
130.66,2267.50,357.96,2265.25,2005.14,100.00,0
132.92,2268.31,359.13,2267.12,2242.19,100.00,0
135.19,2278.06,366.71,2277.99,2242.21,100.00,0
137.47,3269.62,375.03,3243.91,3250.31,100.00,0
140.74,1908.98,359.32,1933.21,2164.67,100.00,0
142.65,1992.93,381.20,1992.70,1985.89,100.00,0
144.64,2000.46,374.19,2000.27,1987.22,100.00,0
146.64,2276.47,379.03,2274.64,2011.59,100.00,0
148.92,2006.97,365.52,1998.18,2242.10,100.00,0
150.92,2002.89,358.30,2011.09,1992.76,100.00,0
152.93,2031.72,360.67,2030.65,2015.64,100.00,0
154.96,2031.08,372.61,2031.02,2026.88,100.00,0
156.99,2040.65,370.60,2040.12,2032.62,100.00,0
159.03,3303.41,358.76,3283.21,3030.68,100.00,0
162.33,2186.09,371.63,2209.26,2193.93,100.00,0
164.52,4053.51,293.82,4049.07,4041.59,100.00,0
168.57,2186.66,339.97,2186.21,2166.60,100.00,0
170.76,3281.20,352.58,3268.08,3247.96,100.00,0
174.04,1904.67,369.89,1916.29,2170.00,100.00,0
175.95,1994.13,373.75,1994.05,1987.08,100.00,0
177.94,2271.61,350.55,2270.66,2012.03,100.00,0
180.21,2263.31,360.16,2263.25,2238.15,100.00,0
182.48,3262.49,367.65,3256.96,3246.90,100.00,0
185.74,1926.61,346.93,1930.23,2166.76,100.00,0
187.66,2001.94,362.90,2000.85,1985.72,100.00,0
189.67,3242.84,364.06,3241.79,2995.90,100.00,0
192.91,1938.13,357.26,1938.09,2161.49,100.00,0
194.85,3277.24,376.25,3247.77,2993.90,100.00,0
198.12,3151.21,369.79,3179.23,3171.80,100.00,0
201.28,1928.82,392.08,1928.98,2166.15,100.00,0
203.20,1998.50,358.34,1997.42,1980.13,100.00,0
205.20,1983.84,350.86,1983.88,1986.72,100.00,0
207.19,2008.58,367.34,1993.62,1983.22,100.00,0
209.20,3277.96,359.83,3291.57,3035.62,100.00,0
212.47,3242.33,358.79,3242.54,3230.67,100.00,0
215.72,1941.74,332.57,1940.13,2171.42,100.00,0
217.66,1988.55,341.04,1984.67,1977.19,100.00,0
219.65,1999.11,370.07,2000.34,1989.72,100.00,0
221.65,1993.34,359.22,1993.23,1985.10,100.00,0
223.64,1995.46,371.49,1994.09,1979.63,100.00,0
225.63,3284.40,338.98,3284.02,3033.76,100.00,0
228.92,1950.05,338.19,1924.64,2161.65,100.00,0
230.87,3241.41,390.47,3265.55,3004.98,100.00,0
234.11,3176.34,336.16,3175.67,3170.03,100.00,0
237.29,1932.55,320.71,1932.97,2163.71,100.00,0
239.22,1994.77,331.32,1983.82,1975.22,100.00,0
241.21,1992.17,356.72,1998.87,1990.19,100.00,0
243.21,1990.45,361.40,1991.95,1981.22,100.00,0
245.20,2260.64,358.23,2259.55,1982.57,100.00,0
247.46,3256.53,344.14,3256.16,3251.12,100.00,0
250.71,1944.20,347.36,1927.71,2166.70,100.00,0
252.66,1987.47,348.84,2001.35,1990.77,100.00,0
254.65,1984.42,369.72,1985.73,1978.48,100.00,0
256.63,1998.25,353.18,1996.70,1989.13,100.00,0
258.63,2028.38,364.08,2028.28,2004.34,100.00,0
