Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,22.78,8.19,22.14,19.33,100.00,0
50,23.75,8.54,23.08,20.04,100.00,0
75,24.81,9.02,24.08,20.36,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,21.73,13.38,21.03,0.00,100.00,0
0.02,24.30,12.43,24.14,19.30,100.00,0
0.05,21.40,8.84,20.64,18.37,100.00,0
0.07,26.78,8.29,24.85,18.43,100.00,0
0.09,22.45,9.22,23.04,18.43,100.00,0
0.12,23.79,8.17,23.05,19.65,100.00,0
0.14,23.34,8.52,22.78,18.25,100.00,0
0.16,22.03,8.32,21.33,18.61,100.00,0
0.19,26.78,8.62,25.96,17.96,100.00,0
0.21,20.55,8.13,19.71,17.96,100.00,0
0.23,24.69,9.24,24.31,19.31,100.00,0
0.26,18.37,7.54,17.48,18.22,100.00,0
0.28,21.97,7.00,21.49,19.07,100.00,0
0.30,24.89,7.33,24.13,18.95,100.00,0
0.32,21.35,8.48,20.51,18.75,100.00,0
0.34,25.85,8.87,25.49,20.08,100.00,0
0.37,18.44,8.39,17.72,18.63,100.00,0
0.39,26.69,7.61,25.94,19.06,100.00,0
0.42,22.46,8.25,21.91,18.60,100.00,0
0.44,19.91,7.53,19.66,18.66,100.00,0
0.46,20.50,6.67,19.96,18.71,100.00,0
0.48,22.68,6.41,22.33,18.98,100.00,0
0.50,25.87,7.74,25.20,20.19,100.00,0
0.53,21.12,8.22,20.53,19.78,100.00,0
0.55,26.19,7.57,25.57,20.46,100.00,0
0.57,22.67,8.12,21.78,19.61,100.00,0
0.60,25.43,12.06,24.60,18.41,100.00,0
0.62,22.15,9.59,21.60,18.41,100.00,0
0.64,24.22,8.33,23.69,18.49,100.00,0
0.67,19.72,8.44,19.02,18.49,100.00,0
0.69,24.45,9.31,23.90,18.92,100.00,0
0.71,19.30,8.16,18.56,18.44,100.00,0
0.73,24.63,8.15,24.03,18.69,100.00,0
0.76,22.61,7.86,21.83,18.74,100.00,0
0.78,24.98,8.27,23.02,18.24,100.00,0
0.80,20.62,11.86,21.12,18.24,100.00,0
0.82,24.13,8.75,23.67,18.37,100.00,0
0.85,23.67,7.82,22.92,20.19,100.00,0
0.87,23.78,8.47,23.09,19.91,100.00,0
0.90,24.60,8.41,23.99,19.52,100.00,0
0.92,23.50,8.13,22.71,19.65,100.00,0
0.94,25.46,9.50,24.72,19.49,100.00,0
0.97,23.24,9.01,22.55,19.49,100.00,0
0.99,25.11,8.52,24.45,20.68,100.00,0
1.02,22.03,8.31,21.41,19.43,100.00,0
1.04,25.98,7.77,25.03,20.95,100.00,0
1.07,25.49,9.18,24.80,19.30,100.00,0
1.09,20.87,9.28,20.35,19.30,100.00,0
1.11,25.49,8.13,24.80,20.35,100.00,0
1.14,23.39,8.28,22.63,19.13,100.00,0
1.16,24.21,8.45,23.50,19.69,100.00,0
1.19,24.43,11.47,23.76,20.10,100.00,0
1.21,23.24,9.23,22.89,19.64,100.00,0
1.23,24.11,10.44,23.45,19.79,100.00,0
1.26,23.10,11.18,22.52,20.08,100.00,0
1.28,22.83,8.95,22.39,19.71,100.00,0
1.30,21.85,8.32,21.11,18.50,100.00,0
1.33,24.67,9.12,24.04,19.95,100.00,0
1.35,22.20,8.72,21.61,18.50,100.00,0
1.37,24.64,8.15,23.80,18.90,100.00,0
1.40,21.49,8.84,20.82,18.43,100.00,0
1.42,25.90,8.17,25.22,17.92,100.00,0
1.44,22.18,8.14,21.43,17.92,100.00,0
1.47,23.99,10.62,23.49,18.11,100.00,0
1.49,22.27,8.83,21.48,18.11,100.00,0
1.51,25.32,9.06,24.54,20.74,100.00,0
1.54,24.10,8.42,23.34,19.58,100.00,0
1.56,23.71,8.88,23.01,20.01,100.00,0
1.59,23.63,8.07,23.01,19.69,100.00,0
1.61,24.60,8.20,23.80,20.09,100.00,0
1.63,23.33,8.62,22.65,20.09,100.00,0
1.66,23.91,7.83,23.20,19.77,100.00,0
1.68,23.44,8.78,22.70,19.98,100.00,0
1.70,23.07,8.32,22.42,19.83,100.00,0
1.73,24.61,9.10,24.02,20.04,100.00,0
1.75,24.41,8.69,23.60,19.75,100.00,0
1.78,24.36,8.34,23.62,20.08,100.00,0
1.80,22.30,8.76,21.64,19.87,100.00,0
1.82,23.87,8.61,23.69,20.20,100.00,0
1.85,24.08,8.34,23.47,19.92,100.00,0
1.87,23.70,8.28,22.96,19.77,100.00,0
1.90,24.71,8.22,24.05,19.79,100.00,0
1.92,31.26,8.81,30.77,19.59,100.00,0
1.95,23.08,9.32,22.37,19.10,100.00,0
1.97,22.18,10.14,21.45,19.23,100.00,0
2.00,24.30,8.28,23.67,19.74,100.00,0
2.02,22.88,8.20,22.25,19.59,100.00,0
2.04,24.83,9.56,23.84,19.87,100.00,0
2.07,22.30,9.52,21.85,20.02,100.00,0
2.09,23.62,9.20,22.84,19.73,100.00,0
2.11,24.53,8.17,23.88,19.65,100.00,0
2.14,23.41,8.83,22.80,19.84,100.00,0
2.16,24.95,8.38,24.18,19.86,100.00,0
2.19,26.00,8.76,25.22,19.83,100.00,0
2.21,21.75,8.70,21.53,19.83,100.00,0
2.23,22.33,8.03,21.99,20.90,100.00,0
2.26,22.99,6.64,22.08,19.74,100.00,0
2.28,25.08,8.04,24.31,19.87,100.00,0
2.31,24.61,8.96,24.10,19.76,100.00,0
2.33,23.87,8.68,23.10,19.71,100.00,0
2.35,23.33,8.47,22.48,19.36,100.00,0
2.38,24.44,9.06,24.00,20.27,100.00,0
2.40,22.69,8.73,21.91,19.95,100.00,0
2.42,24.60,8.04,24.00,19.64,100.00,0
2.45,23.98,8.12,23.36,19.89,100.00,0
2.47,23.26,8.37,22.56,19.80,100.00,0
2.50,25.57,8.49,24.83,19.73,100.00,0
2.52,21.94,8.63,21.01,19.52,100.00,0
2.54,25.66,8.38,25.13,21.11,100.00,0
2.57,24.05,7.92,23.17,19.55,100.00,0
2.59,21.82,8.86,21.31,19.72,100.00,0
2.62,26.11,7.94,25.40,18.25,100.00,0
2.64,20.81,8.00,20.12,18.25,100.00,0
2.66,26.29,7.74,25.43,18.35,100.00,0
2.69,18.33,7.72,17.74,18.35,100.00,0
2.71,25.91,7.69,25.53,19.97,100.00,0
2.73,22.10,7.13,21.23,18.23,100.00,0
2.75,22.65,7.69,22.12,18.70,100.00,0
2.78,21.26,8.26,20.34,18.75,100.00,0
2.80,23.62,8.09,22.93,18.74,100.00,0
2.82,20.71,9.79,19.99,18.78,100.00,0
2.84,23.19,8.87,22.70,19.03,100.00,0
2.87,23.48,8.48,22.81,18.93,100.00,0
2.89,23.01,8.08,22.14,18.73,100.00,0
2.91,22.87,9.23,22.29,18.48,100.00,0
2.94,22.07,9.05,21.80,18.63,100.00,0
2.96,26.83,8.45,26.03,18.57,100.00,0
2.98,22.90,8.83,22.27,18.57,100.00,0
3.01,24.53,8.95,23.64,20.86,100.00,0
3.03,24.95,10.86,24.24,19.51,100.00,0
3.06,23.28,9.65,22.70,19.51,100.00,0
3.08,24.33,9.90,23.45,19.72,100.00,0
3.10,22.71,8.27,22.13,19.25,100.00,0
3.13,24.33,8.35,23.69,19.96,100.00,0
3.15,22.80,7.94,22.12,19.36,100.00,0
3.17,28.47,8.61,27.95,21.55,100.00,0
