Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,25.30,7.34,24.46,22.92,100.00,0
50,26.37,7.78,25.60,23.20,100.00,0
75,27.40,8.24,26.74,23.51,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,32.22,8.44,30.19,29.12,100.00,0
0.03,32.09,8.75,29.07,28.87,100.00,0
0.06,32.29,8.68,33.38,29.23,100.00,0
0.10,32.46,18.08,31.23,29.21,100.00,0
0.13,30.93,10.52,33.03,27.52,100.00,0
0.16,32.30,13.13,28.62,28.78,100.00,0
0.19,31.88,9.33,31.88,29.30,100.00,0
0.22,31.05,8.49,31.19,27.52,100.00,0
0.26,31.52,7.83,32.04,28.87,100.00,0
0.29,32.24,7.61,28.62,28.87,100.00,0
0.32,29.90,7.40,32.83,26.93,100.00,0
0.35,32.11,7.92,26.92,29.36,100.00,0
0.38,30.96,7.48,32.61,28.09,100.00,0
0.41,32.75,7.28,34.69,29.61,100.00,0
0.44,32.52,8.02,28.58,29.21,100.00,0
0.48,29.82,8.33,32.47,26.82,100.00,0
0.51,31.32,8.30,29.63,28.42,100.00,0
0.54,29.77,8.23,28.83,26.72,100.00,0
0.57,31.27,8.17,29.23,28.19,100.00,0
0.60,32.32,9.00,33.11,29.01,100.00,0
0.63,31.18,7.62,30.81,28.28,100.00,0
0.66,32.38,8.53,31.46,29.23,100.00,0
0.70,30.82,8.00,30.49,27.22,100.00,0
0.73,32.42,9.23,28.08,29.22,100.00,0
0.76,31.97,8.29,33.15,29.27,100.00,0
0.79,30.39,7.94,31.56,27.08,100.00,0
0.82,31.55,7.93,27.47,28.84,100.00,0
0.85,32.90,7.10,33.64,28.88,100.00,0
0.89,29.68,8.84,29.86,26.95,100.00,0
0.91,31.63,7.27,29.72,28.54,100.00,0
0.95,29.67,7.76,35.01,26.52,100.00,0
0.98,31.18,7.42,26.91,28.48,100.00,0
1.01,33.28,17.89,29.48,29.94,100.00,0
1.04,31.41,8.04,33.97,28.44,100.00,0
1.07,33.41,7.22,28.75,30.16,100.00,0
1.11,32.10,8.65,33.48,28.67,100.00,0
1.14,61.51,8.70,70.48,29.26,100.00,0
1.20,24.28,10.45,23.98,28.77,100.00,0
1.22,23.67,7.50,24.46,26.73,100.00,0
1.25,25.90,8.55,24.40,29.39,100.00,0
1.27,23.71,8.10,19.17,28.62,100.00,0
1.30,32.13,7.66,28.68,28.68,100.00,0
1.33,29.58,8.17,26.09,27.27,100.00,0
1.36,32.99,7.50,33.54,29.31,100.00,0
1.39,30.45,7.46,31.07,27.45,100.00,0
1.42,32.30,21.22,28.62,29.48,100.00,0
1.45,31.64,8.36,31.73,28.27,100.00,0
1.49,32.20,8.52,32.97,29.21,100.00,0
1.52,32.49,7.73,28.41,29.21,100.00,0
1.55,31.76,9.28,32.37,28.75,100.00,0
1.58,31.69,8.25,33.59,29.03,100.00,0
1.61,31.82,19.02,33.32,28.73,100.00,0
1.65,35.65,10.74,27.19,32.19,100.00,0
1.68,34.70,9.29,35.26,31.77,100.00,0
1.72,31.65,11.79,35.84,29.06,100.00,0
1.75,34.30,8.55,29.74,30.20,100.00,0
1.78,55.48,8.06,67.85,27.38,100.00,0
1.84,22.18,6.92,21.38,26.01,100.00,0
1.86,20.46,7.49,19.93,25.73,100.00,0
1.88,21.02,7.34,20.51,27.81,100.00,0
1.90,27.84,6.86,20.17,26.54,100.00,0
1.93,30.09,23.41,30.26,27.66,100.00,0
1.96,31.03,8.20,25.78,28.09,100.00,0
1.99,29.95,8.04,31.48,27.18,100.00,0
2.02,30.18,8.64,30.40,28.05,100.00,0
2.05,32.03,24.81,29.15,28.57,100.00,0
2.08,30.27,9.29,32.63,27.59,100.00,0
2.11,30.53,7.51,29.03,27.74,100.00,0
2.14,30.89,8.12,28.16,27.90,100.00,0
2.17,54.34,7.49,63.33,25.98,100.00,0
2.23,23.20,8.23,21.46,25.99,100.00,0
2.25,19.13,23.01,19.75,26.30,100.00,0
2.27,23.26,8.03,22.25,27.45,100.00,0
2.29,27.66,8.34,17.75,28.51,100.00,0
2.32,54.39,7.29,63.16,28.78,100.00,0
2.38,20.38,7.72,20.02,26.54,100.00,0
2.40,37.24,7.31,36.64,26.43,100.00,0
2.43,22.11,7.06,21.64,27.44,100.00,0
2.46,20.46,20.22,19.09,29.63,100.00,0
2.48,29.90,9.02,19.46,29.50,100.00,0
2.51,33.02,7.02,29.96,29.35,100.00,0
2.54,32.30,8.16,32.90,29.59,100.00,0
2.57,32.03,7.45,31.36,29.07,100.00,0
2.60,53.94,7.44,64.97,28.48,100.00,0
2.66,22.55,7.03,21.63,27.18,100.00,0
2.68,21.90,7.65,21.60,27.01,100.00,0
2.70,23.72,6.85,21.41,28.71,100.00,0
2.73,29.45,8.42,23.00,27.00,100.00,0
2.76,29.31,7.21,26.41,26.66,100.00,0
2.78,54.88,6.65,63.94,26.92,100.00,0
2.84,24.21,7.72,21.50,25.95,100.00,0
2.86,23.03,23.45,24.71,26.05,100.00,0
2.89,25.94,8.90,25.14,26.71,100.00,0
2.91,41.38,6.85,39.80,27.41,100.00,0
2.95,18.86,7.17,19.06,27.61,100.00,0
2.97,20.88,6.96,19.94,27.30,100.00,0
2.99,28.29,7.19,20.09,27.58,100.00,0
3.02,53.81,6.70,60.66,27.71,100.00,0
3.08,20.59,7.66,20.58,28.01,100.00,0
3.10,22.18,6.88,21.64,26.65,100.00,0
3.12,23.37,7.16,18.83,26.95,100.00,0
3.14,53.82,5.89,56.95,27.51,100.00,0
3.20,21.83,18.70,21.48,28.30,100.00,0
3.22,24.78,7.24,24.14,28.80,100.00,0
3.24,24.04,6.91,20.73,28.62,100.00,0
3.27,31.12,7.63,25.27,28.39,100.00,0
3.30,57.11,7.63,63.45,27.94,100.00,0
3.35,21.41,9.15,21.72,27.69,100.00,0
3.38,31.79,8.48,23.39,27.04,100.00,0
3.41,14.51,31.30,21.14,27.09,100.00,0
3.42,24.68,9.42,19.15,26.59,100.00,0
3.45,29.44,7.44,26.88,26.78,100.00,0
3.48,28.73,7.97,30.81,26.45,100.00,0
3.50,29.70,6.62,25.57,26.24,100.00,0
3.53,28.81,7.53,29.32,26.34,100.00,0
3.56,28.56,6.73,28.60,25.77,100.00,0
3.59,28.38,7.22,26.35,25.40,100.00,0
3.62,28.85,7.57,29.38,26.13,100.00,0
3.65,28.46,7.45,29.26,25.83,100.00,0
3.68,27.09,7.13,26.66,24.14,100.00,0
3.70,27.89,25.75,27.78,25.51,100.00,0
3.73,28.33,8.38,26.07,25.42,100.00,0
3.76,28.23,7.46,30.40,25.49,100.00,0
3.79,28.67,7.14,29.66,25.84,100.00,0
3.82,28.43,7.62,24.51,25.04,100.00,0
